-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.885,  0.445
-183.743, 80.057, 1.087,  0.478
-183.725, 80.016, 1.303,  0.511
-183.707, 79.966, 1.541,  0.544
-183.691, 79.909, 1.765,  0.577
-183.677, 79.846, 1.951,  0.610
-183.665, 79.778, 2.069,  0.643
-183.653, 79.708, 2.131,  0.676
-183.643, 79.637, 2.159,  0.709
-183.633, 79.567, 2.161,  0.742
-183.623, 79.497, 2.145,  0.775
-183.614, 79.428, 2.116,  0.808
-183.605, 79.360, 2.076,  0.841
-183.597, 79.293, 2.030,  0.874
-183.589, 79.229, 1.978,  0.907
-183.581, 79.166, 1.923,  0.940
-183.574, 79.104, 1.866,  0.973
-183.567, 79.045, 1.808,  1.006
-183.560, 78.987, 1.750,  1.039
-183.555, 78.931, 1.691,  1.072
-183.549, 78.877, 1.634,  1.105
-183.544, 78.826, 1.547,  1.138
-183.539, 78.777, 1.488,  1.171
-183.535, 78.729, 1.445,  1.204
-183.530, 78.682, 1.425,  1.237
-183.525, 78.634, 1.437,  1.270
-183.520, 78.585, 1.488,  1.303
-183.515, 78.533, 1.584,  1.336
-183.509, 78.476, 1.727,  1.369
-183.503, 78.414, 1.870,  1.402
-183.496, 78.348, 1.974,  1.435
-183.489, 78.281, 2.014,  1.468
-183.482, 78.213, 2.028,  1.501
-183.476, 78.146, 2.022,  1.534
-183.469, 78.080, 2.001,  1.567
-183.462, 78.015, 1.968,  1.600
-183.456, 77.951, 1.928,  1.633
-183.451, 77.888, 1.882,  1.666
-183.445, 77.828, 1.832,  1.699
-183.440, 77.769, 1.780,  1.732
